Código do curso;Nome do Curso;Ano Curricular da UC;Código da UC;Unidade Curricular
J3;Licenciatura em Engenharia Informática;3;J305N2;Desenvolvimento de Sistemas de Software
J3;Licenciatura em Engenharia Informática;2;J304N3;Programação Orientada a Objetos
J3;Licenciatura em Engenharia Informática;1;J302N1;Programação Imperativa
J3;Licenciatura em Engenharia Informática;2;J304N2;Base de Dados
J3;Licenciatura em Engenharia Informática;3;J305N3;Cálculo de Programas
J3;Licenciatura em Engenharia Informática;1;J301N1;Programação Funcional
